LIAI,FIL,DESIGNATION,COUL,REP1,REP2,TYPE,LONG,OPTION,REF CON1,CODE APP.1,ALV1,NUM FAB.1,POS1,EXT1,REF JOINT1,REF CON2,CODE APP.2,ALV2,NUM FAB.2,POS2,EXT2,REF JOINT2
"133C","0025","SGN CANL T/B / UCE","BR/W","","CBL$5319","NEWA3Z-0.35","905","XUCEH2","7703297647","225AA","14","064","6J","7703497696","","4501020609","E133C-C","R","E-06","8I","*EPISSURE*",""
"133C","0027","SGN CANL T/B / UCE","BR/W","","CBL$5237","NEWA3Z-0.35","665","XUCEH2&&DA","4501020609","E133C-A","R","E-04","7D","*EPISSURE*","","4501020609","E133C-C","L","E-06","8I","*EPISSURE*",""
"133C","0028","SGN CANL T/B / UCE","BR","","CBL$6943","ACOR2Z-0.35","345","XUCEH2&&DA","8200308246","645AA","23","092","8B","8200176508","","4501020609","E133C-A","L","E-04","7D","*EPISSURE*",""
"133C","0029","SGN CANL T/B / UCE","BR/W","","CBL$5425","NEWA3Z-0.35","1695","XUCEH2","4501020609","E133C-B","R","E-05","3F","*EPISSURE*","","4501020609","E133C-C","L","E-06","8I","*EPISSURE*",""
"133C","0454","SN CANL T/B / UCE","BR","","CBL$6031","ACOR2Z-0.35","1920","XUCEH2&&PHAS2","8200489954","247AA","19","131","6E","8200176508","","4501020609","E133C-B","R","E-05","3F","*EPISSURE*",""
"133C","0572","SGN CANL T/B / UCE","BR","","CBL$3785","ACOR2Z-0.35","845","XUCEH2&&DA&&PHAS2","243409651R","1232AB","3","151","4F","7703497454","","4501020609","E133C-A","R","E-04","7D","*EPISSURE*",""
"137G","0034","SGN CAN L","GY","","CBL$6670","NEWA3Z-0.50","1020","XUCEH2","8200308246","645AA","3","092","8B","8200176508","","4501020609","E137G-A","L","E-07","10F","*EPISSURE*",""
"137G","0597","SJB CAN L","GY/W","","CBL$33961","NEWA3Z-0.35","815","XUCEH2&&BVM5&&FLEXFL&&L72F&&PHAS2","8200676954","120BA","A3","160","9A","8200185963","","4501020609","E137G-A","L","E-07","10F","*EPISSURE*",""
"137G","0645","SGN CAN L","GY/W","","CBL$6671","NEWA3Z-0.35","1075","ABS&&XUCEH2&&PHAS2","243409329R","1094AA","14","162","8I","243460558R","243529796R","4501020609","E137G-A","R","E-07","10F","*EPISSURE*",""
"137H","0037","SGN CAN H","BE","","CBL$6670","NEWA3Z-0.50","1020","XUCEH2","8200308246","645AA","4","092","8B","8200176508","","4501020609","E137H-A","L","E-08","10F","*EPISSURE*",""
